Resultados de SVM con validacion cruzada (5 folds):

C=0.1, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': 0.02522619120385474, 'accuracy': 0.41305194805194806, 'precision': 0.4128719393813734, 'recall': 0.41305194805194806, 'f1': 0.2741813579307085}, tiempo_total=0.18 segundos

C=0.1, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.02522619120385474, 'accuracy': 0.41305194805194806, 'precision': 0.4128719393813734, 'recall': 0.41305194805194806, 'f1': 0.2741813579307085}, tiempo_total=0.17 segundos

C=0.1, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': 0.030184509792825255, 'accuracy': 0.41668831168831166, 'precision': 0.41376641876641873, 'recall': 0.41668831168831166, 'f1': 0.2756971474043928}, tiempo_total=0.18 segundos

C=0.1, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.09088860420393678, 'accuracy': 0.4527922077922078, 'precision': 0.442707156223091, 'recall': 0.4527922077922078, 'f1': 0.33914880154838395}, tiempo_total=0.22 segundos

C=0.1, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.1035017444725345, 'accuracy': 0.460064935064935, 'precision': 0.44734112169739254, 'recall': 0.460064935064935, 'f1': 0.35009725625316634}, tiempo_total=0.22 segundos

C=0.1, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.20654891795707928, 'accuracy': 0.5144805194805195, 'precision': 0.4373225516387548, 'recall': 0.5144805194805195, 'f1': 0.4345311570642699}, tiempo_total=0.17 segundos

C=0.1, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.2049262734631258, 'accuracy': 0.5144805194805195, 'precision': 0.44602788443954033, 'recall': 0.5144805194805195, 'f1': 0.43321295752616934}, tiempo_total=0.17 segundos

C=1, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.23612183814893933, 'accuracy': 0.5000649350649351, 'precision': 0.4857647467621892, 'recall': 0.5000649350649351, 'f1': 0.48355481723584803}, tiempo_total=0.19 segundos

C=1, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.23612183814893933, 'accuracy': 0.5000649350649351, 'precision': 0.4857647467621892, 'recall': 0.5000649350649351, 'f1': 0.48355481723584803}, tiempo_total=0.19 segundos

C=1, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.2530188192944153, 'accuracy': 0.5290909090909091, 'precision': 0.4757431994528769, 'recall': 0.5290909090909091, 'f1': 0.48256397788915584}, tiempo_total=0.16 segundos

C=1, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.30939151092123807, 'accuracy': 0.5653246753246753, 'precision': 0.559177278816665, 'recall': 0.5653246753246753, 'f1': 0.5203839304650664}, tiempo_total=0.16 segundos

C=1, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.13815783212548657, 'accuracy': 0.4672727272727273, 'precision': 0.45201635865339707, 'recall': 0.4672727272727273, 'f1': 0.4109240511208528}, tiempo_total=0.17 segundos

