Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.1752754273758486, 'accuracy': 0.47461038961038965, 'precision': 0.42972147419883006, 'recall': 0.47461038961038965, 'f1': 0.440925036189263}, tiempo_total=1.44 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.18884650847712262, 'accuracy': 0.4892207792207793, 'precision': 0.4311674959457467, 'recall': 0.4892207792207793, 'f1': 0.4400527735981533}, tiempo_total=1.08 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.18884650847712262, 'accuracy': 0.4892207792207793, 'precision': 0.4311674959457467, 'recall': 0.4892207792207793, 'f1': 0.4400527735981533}, tiempo_total=1.04 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.1734643163698522, 'accuracy': 0.4746103896103896, 'precision': 0.42532706498898404, 'recall': 0.4746103896103896, 'f1': 0.4347556488552966}, tiempo_total=1.49 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.16724228327166787, 'accuracy': 0.4782467532467532, 'precision': 0.4225256613134764, 'recall': 0.4782467532467532, 'f1': 0.42605288429844973}, tiempo_total=1.05 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.16724228327166787, 'accuracy': 0.4782467532467532, 'precision': 0.4225256613134764, 'recall': 0.4782467532467532, 'f1': 0.42605288429844973}, tiempo_total=1.07 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.18546027501381598, 'accuracy': 0.4818831168831169, 'precision': 0.44202274996463614, 'recall': 0.4818831168831169, 'f1': 0.4447956673365569}, tiempo_total=1.49 segundos

