Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=1, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.25753601797149245, 'accuracy': 0.5253896103896103, 'precision': 0.4879428474280691, 'recall': 0.5253896103896103, 'f1': 0.48963081822360166}, tiempo_total=0.90 segundos

C=1, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.23273359044603953, 'accuracy': 0.5072727272727273, 'precision': 0.4749667685086404, 'recall': 0.5072727272727273, 'f1': 0.47428369476313803}, tiempo_total=0.95 segundos

C=1, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.2685302615969468, 'accuracy': 0.5290909090909091, 'precision': 0.514190409091663, 'recall': 0.5290909090909091, 'f1': 0.5031243244024568}, tiempo_total=0.23 segundos

C=1, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.2741920331115841, 'accuracy': 0.5326623376623376, 'precision': 0.5169673279400104, 'recall': 0.5326623376623376, 'f1': 0.5063099592835869}, tiempo_total=0.92 segundos

C=1, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.2685302615969468, 'accuracy': 0.5290909090909091, 'precision': 0.514190409091663, 'recall': 0.5290909090909091, 'f1': 0.5031243244024568}, tiempo_total=0.19 segundos

C=1, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.24752014045500764, 'accuracy': 0.510909090909091, 'precision': 0.4852418491331535, 'recall': 0.510909090909091, 'f1': 0.4894756862626761}, tiempo_total=0.21 segundos

C=1, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.24752014045500764, 'accuracy': 0.510909090909091, 'precision': 0.4852418491331535, 'recall': 0.510909090909091, 'f1': 0.4894756862626761}, tiempo_total=0.62 segundos

C=1, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.24752014045500764, 'accuracy': 0.510909090909091, 'precision': 0.4852418491331535, 'recall': 0.510909090909091, 'f1': 0.4894756862626761}, tiempo_total=0.15 segundos

C=1, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.2724465346970524, 'accuracy': 0.5326623376623376, 'precision': 0.509719401810311, 'recall': 0.5326623376623376, 'f1': 0.503196492344135}, tiempo_total=1.03 segundos

C=1, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.2431477411392911, 'accuracy': 0.510974025974026, 'precision': 0.48330426716141, 'recall': 0.510974025974026, 'f1': 0.4853587285779236}, tiempo_total=0.89 segundos

C=1, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.25273348259212663, 'accuracy': 0.5036363636363637, 'precision': 0.4904111905019438, 'recall': 0.5036363636363637, 'f1': 0.4869796452039331}, tiempo_total=0.38 segundos

C=1, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.24487190097064274, 'accuracy': 0.5037662337662338, 'precision': 0.4853273852761949, 'recall': 0.5037662337662338, 'f1': 0.4838363846458716}, tiempo_total=1.84 segundos

C=1, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.248465809270012, 'accuracy': 0.5, 'precision': 0.4888568555088737, 'recall': 0.5, 'f1': 0.4844194086924771}, tiempo_total=0.30 segundos

C=1, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.2325277646898914, 'accuracy': 0.4855194805194805, 'precision': 0.4794294365909549, 'recall': 0.4855194805194805, 'f1': 0.4757311167521324}, tiempo_total=0.52 segundos

C=1, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.23837046833222475, 'accuracy': 0.49642857142857144, 'precision': 0.4831977481579212, 'recall': 0.49642857142857144, 'f1': 0.4836104403724636}, tiempo_total=1.02 segundos

C=1, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.23276468118525134, 'accuracy': 0.48545454545454536, 'precision': 0.4809863381873821, 'recall': 0.48545454545454536, 'f1': 0.47638814606663793}, tiempo_total=0.39 segundos

C=10, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.2463494464219068, 'accuracy': 0.5074025974025974, 'precision': 0.4860976335464432, 'recall': 0.5074025974025974, 'f1': 0.4853134011667657}, tiempo_total=2.32 segundos

C=10, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.23076291272074262, 'accuracy': 0.49279220779220784, 'precision': 0.4760635490237221, 'recall': 0.49279220779220784, 'f1': 0.47807812320695114}, tiempo_total=1.51 segundos

C=10, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.24590647538152624, 'accuracy': 0.5073376623376624, 'precision': 0.48299895795638825, 'recall': 0.5073376623376624, 'f1': 0.4843430582184401}, tiempo_total=0.26 segundos

C=10, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.24590647538152624, 'accuracy': 0.5073376623376624, 'precision': 0.48299895795638825, 'recall': 0.5073376623376624, 'f1': 0.4843430582184401}, tiempo_total=1.69 segundos

C=10, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.24590647538152624, 'accuracy': 0.5073376623376624, 'precision': 0.48299895795638825, 'recall': 0.5073376623376624, 'f1': 0.4843430582184401}, tiempo_total=0.23 segundos

C=10, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.2452544051581511, 'accuracy': 0.5037012987012986, 'precision': 0.48446475355395896, 'recall': 0.5037012987012986, 'f1': 0.48723450400835555}, tiempo_total=0.33 segundos

C=10, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.2452544051581511, 'accuracy': 0.5037012987012986, 'precision': 0.48446475355395896, 'recall': 0.5037012987012986, 'f1': 0.48723450400835555}, tiempo_total=1.22 segundos

C=10, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.2452544051581511, 'accuracy': 0.5037012987012986, 'precision': 0.48446475355395896, 'recall': 0.5037012987012986, 'f1': 0.48723450400835555}, tiempo_total=0.19 segundos

C=10, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.24516075911738106, 'accuracy': 0.5073376623376624, 'precision': 0.483213243670674, 'recall': 0.5073376623376624, 'f1': 0.48404978133321785}, tiempo_total=2.38 segundos

C=10, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.2452544051581511, 'accuracy': 0.5037012987012986, 'precision': 0.48446475355395896, 'recall': 0.5037012987012986, 'f1': 0.48723450400835555}, tiempo_total=1.69 segundos

C=10, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.25273348259212663, 'accuracy': 0.5036363636363637, 'precision': 0.4904111905019438, 'recall': 0.5036363636363637, 'f1': 0.4869796452039331}, tiempo_total=0.37 segundos

C=10, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.24487190097064274, 'accuracy': 0.5037662337662338, 'precision': 0.4853273852761949, 'recall': 0.5037662337662338, 'f1': 0.4838363846458716}, tiempo_total=1.78 segundos

C=10, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.248465809270012, 'accuracy': 0.5, 'precision': 0.4888568555088737, 'recall': 0.5, 'f1': 0.4844194086924771}, tiempo_total=0.30 segundos

C=10, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.2325277646898914, 'accuracy': 0.4855194805194805, 'precision': 0.4794294365909549, 'recall': 0.4855194805194805, 'f1': 0.4757311167521324}, tiempo_total=0.50 segundos

C=10, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.23837046833222475, 'accuracy': 0.49642857142857144, 'precision': 0.4831977481579212, 'recall': 0.49642857142857144, 'f1': 0.4836104403724636}, tiempo_total=1.00 segundos

