Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7950589953030487, 'accuracy': 0.9295508274231679, 'precision': 0.9273358934730936, 'recall': 0.9295508274231679, 'f1': 0.9266783706572885, 'roc_auc': 0.984073799080807}, tiempo_total=1.99 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7950589953030487, 'accuracy': 0.9295508274231679, 'precision': 0.9273358934730936, 'recall': 0.9295508274231679, 'f1': 0.9266783706572885, 'roc_auc': 0.984073799080807}, tiempo_total=2.22 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.724342228623171, 'accuracy': 0.905437352245863, 'precision': 0.9011761659353962, 'recall': 0.905437352245863, 'f1': 0.9012931589788626, 'roc_auc': 0.9507390134664984}, tiempo_total=2.52 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.6615940439798242, 'accuracy': 0.8926713947990542, 'precision': 0.8884299374969927, 'recall': 0.8926713947990542, 'f1': 0.8819200237993297, 'roc_auc': 0.9575708537129476}, tiempo_total=1.36 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.6615940439798242, 'accuracy': 0.8926713947990542, 'precision': 0.8884299374969927, 'recall': 0.8926713947990542, 'f1': 0.8819200237993297, 'roc_auc': 0.9575708537129476}, tiempo_total=1.36 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7254205610304025, 'accuracy': 0.9059101654846335, 'precision': 0.9018010943096314, 'recall': 0.9059101654846335, 'f1': 0.9017568339535382, 'roc_auc': 0.950688215383731}, tiempo_total=2.50 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.6593705377164805, 'accuracy': 0.891725768321513, 'precision': 0.8870752140815504, 'recall': 0.891725768321513, 'f1': 0.8811234870488305, 'roc_auc': 0.9576173471385075}, tiempo_total=1.35 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.6593705377164805, 'accuracy': 0.891725768321513, 'precision': 0.8870752140815504, 'recall': 0.891725768321513, 'f1': 0.8811234870488305, 'roc_auc': 0.9576173471385075}, tiempo_total=1.38 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7236432261913708, 'accuracy': 0.9049645390070922, 'precision': 0.9005521000555523, 'recall': 0.9049645390070922, 'f1': 0.9008776465297406, 'roc_auc': 0.9506021598098279}, tiempo_total=2.46 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.6618421480640433, 'accuracy': 0.893144208037825, 'precision': 0.8894056082786378, 'recall': 0.893144208037825, 'f1': 0.8820560104684256, 'roc_auc': 0.9573657833584577}, tiempo_total=1.48 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.6618421480640433, 'accuracy': 0.893144208037825, 'precision': 0.8894056082786378, 'recall': 0.893144208037825, 'f1': 0.8820560104684256, 'roc_auc': 0.9573657833584577}, tiempo_total=1.39 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.724342228623171, 'accuracy': 0.905437352245863, 'precision': 0.9011761659353962, 'recall': 0.905437352245863, 'f1': 0.9012931589788626, 'roc_auc': 0.9507390134664984}, tiempo_total=2.69 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.6622873767695865, 'accuracy': 0.8926713947990544, 'precision': 0.8883329074439026, 'recall': 0.8926713947990544, 'f1': 0.8821126349710335, 'roc_auc': 0.9579495286436158}, tiempo_total=1.53 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.6622873767695865, 'accuracy': 0.8926713947990544, 'precision': 0.8883329074439026, 'recall': 0.8926713947990544, 'f1': 0.8821126349710335, 'roc_auc': 0.9579495286436158}, tiempo_total=1.61 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7254205610304025, 'accuracy': 0.9059101654846335, 'precision': 0.9018010943096314, 'recall': 0.9059101654846335, 'f1': 0.9017568339535382, 'roc_auc': 0.950688215383731}, tiempo_total=2.72 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.6611081881057068, 'accuracy': 0.8921985815602838, 'precision': 0.8876223942377255, 'recall': 0.8921985815602838, 'f1': 0.8816878765876105, 'roc_auc': 0.9576706610195751}, tiempo_total=1.41 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.6611081881057068, 'accuracy': 0.8921985815602838, 'precision': 0.8876223942377255, 'recall': 0.8921985815602838, 'f1': 0.8816878765876105, 'roc_auc': 0.9576706610195751}, tiempo_total=1.41 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7236432261913708, 'accuracy': 0.9049645390070922, 'precision': 0.9005521000555523, 'recall': 0.9049645390070922, 'f1': 0.9008776465297406, 'roc_auc': 0.9506021598098279}, tiempo_total=2.81 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.6618421480640433, 'accuracy': 0.893144208037825, 'precision': 0.8894056082786378, 'recall': 0.893144208037825, 'f1': 0.8820560104684256, 'roc_auc': 0.9573657833584577}, tiempo_total=1.44 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.6618421480640433, 'accuracy': 0.893144208037825, 'precision': 0.8894056082786378, 'recall': 0.893144208037825, 'f1': 0.8820560104684256, 'roc_auc': 0.9573657833584577}, tiempo_total=1.45 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.724342228623171, 'accuracy': 0.905437352245863, 'precision': 0.9011761659353962, 'recall': 0.905437352245863, 'f1': 0.9012931589788626, 'roc_auc': 0.9507430213938399}, tiempo_total=2.66 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.6597788617290361, 'accuracy': 0.8921985815602836, 'precision': 0.8879113315078186, 'recall': 0.8921985815602836, 'f1': 0.8812704880155297, 'roc_auc': 0.9579278279604496}, tiempo_total=1.42 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.6597788617290361, 'accuracy': 0.8921985815602836, 'precision': 0.8879113315078186, 'recall': 0.8921985815602836, 'f1': 0.8812704880155297, 'roc_auc': 0.9579278279604496}, tiempo_total=1.39 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7254205610304025, 'accuracy': 0.9059101654846335, 'precision': 0.9018010943096314, 'recall': 0.9059101654846335, 'f1': 0.9017568339535382, 'roc_auc': 0.9506851111433386}, tiempo_total=2.56 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.6594421417015763, 'accuracy': 0.8921985815602836, 'precision': 0.8882368058594977, 'recall': 0.8921985815602836, 'f1': 0.8812515974535854, 'roc_auc': 0.9575949009516375}, tiempo_total=1.35 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.6594421417015763, 'accuracy': 0.8921985815602836, 'precision': 0.8882368058594977, 'recall': 0.8921985815602836, 'f1': 0.8812515974535854, 'roc_auc': 0.9575949009516375}, tiempo_total=1.35 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7236432261913708, 'accuracy': 0.9049645390070922, 'precision': 0.9005521000555523, 'recall': 0.9049645390070922, 'f1': 0.9008776465297406, 'roc_auc': 0.9505909524089085}, tiempo_total=2.53 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.6615481344107644, 'accuracy': 0.893144208037825, 'precision': 0.8894395943951181, 'recall': 0.893144208037825, 'f1': 0.882013041136888, 'roc_auc': 0.9573564374689084}, tiempo_total=1.34 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.6615481344107644, 'accuracy': 0.893144208037825, 'precision': 0.8894395943951181, 'recall': 0.893144208037825, 'f1': 0.882013041136888, 'roc_auc': 0.9573564374689084}, tiempo_total=1.35 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7787548993800026, 'accuracy': 0.9257683215130023, 'precision': 0.9244626533795316, 'recall': 0.9257683215130023, 'f1': 0.920678222467193, 'roc_auc': 0.9717958915763276}, tiempo_total=3.56 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7466458007008384, 'accuracy': 0.9163120567375886, 'precision': 0.9129414153989861, 'recall': 0.9163120567375886, 'f1': 0.9104388497046456, 'roc_auc': 0.9753102156120912}, tiempo_total=1.61 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7466458007008384, 'accuracy': 0.9163120567375886, 'precision': 0.9129414153989861, 'recall': 0.9163120567375886, 'f1': 0.9104388497046456, 'roc_auc': 0.9753102156120912}, tiempo_total=1.62 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7824040488444247, 'accuracy': 0.9267139479905439, 'precision': 0.9255365533700246, 'recall': 0.9267139479905439, 'f1': 0.9217353914286466, 'roc_auc': 0.9714732880095316}, tiempo_total=3.51 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.733831593038986, 'accuracy': 0.9120567375886525, 'precision': 0.9080571487747516, 'recall': 0.9120567375886525, 'f1': 0.9058722945511999, 'roc_auc': 0.9754425914440435}, tiempo_total=1.62 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.733831593038986, 'accuracy': 0.9120567375886525, 'precision': 0.9080571487747516, 'recall': 0.9120567375886525, 'f1': 0.9058722945511999, 'roc_auc': 0.9754425914440435}, tiempo_total=1.63 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7810982293617142, 'accuracy': 0.9257683215130024, 'precision': 0.9244247395064192, 'recall': 0.9257683215130024, 'f1': 0.9209595254556872, 'roc_auc': 0.9713901431835446}, tiempo_total=3.52 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7247153020017156, 'accuracy': 0.9087470449172578, 'precision': 0.9045835001895706, 'recall': 0.9087470449172578, 'f1': 0.9027389091182373, 'roc_auc': 0.9734553692490312}, tiempo_total=1.58 segundos

