Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=1, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.710993944157315, 'accuracy': 0.8969267139479905, 'precision': 0.8944171198166817, 'recall': 0.8969267139479905, 'f1': 0.8951388306599226, 'roc_auc': 0.9673274069418012}, tiempo_total=6.21 segundos

C=1, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.6991559999549424, 'accuracy': 0.8945626477541371, 'precision': 0.890929163554584, 'recall': 0.8945626477541371, 'f1': 0.8917586945831516, 'roc_auc': 0.9646781093280705}, tiempo_total=0.31 segundos

C=1, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6991559999549424, 'accuracy': 0.8945626477541371, 'precision': 0.890929163554584, 'recall': 0.8945626477541371, 'f1': 0.8917586945831516, 'roc_auc': 0.9646743244760296}, tiempo_total=2.92 segundos

C=1, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.6991559999549424, 'accuracy': 0.8945626477541371, 'precision': 0.890929163554584, 'recall': 0.8945626477541371, 'f1': 0.8917586945831516, 'roc_auc': 0.9646793707002719}, tiempo_total=0.27 segundos

C=1, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7098336804667444, 'accuracy': 0.8964539007092199, 'precision': 0.8936229277270924, 'recall': 0.8964539007092199, 'f1': 0.8945944060397995, 'roc_auc': 0.967271574607939}, tiempo_total=0.31 segundos

C=1, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7082659600852461, 'accuracy': 0.8959810874704491, 'precision': 0.8930291401224105, 'recall': 0.8959810874704491, 'f1': 0.8940432735584463, 'roc_auc': 0.9672583922939125}, tiempo_total=3.14 segundos

C=1, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.7098336804667444, 'accuracy': 0.8964539007092199, 'precision': 0.8936229277270924, 'recall': 0.8964539007092199, 'f1': 0.8945944060397995, 'roc_auc': 0.967249293488744}, tiempo_total=0.29 segundos

