Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7476881490018219, 'accuracy': 0.8758374910905203, 'precision': 0.8763046793667255, 'recall': 0.8758374910905203, 'f1': 0.8754925243268612, 'roc_auc': 0.9307276351738473}, tiempo_total=1.25 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.6918095980121471, 'accuracy': 0.848568543597054, 'precision': 0.8489856945426542, 'recall': 0.848568543597054, 'f1': 0.8479665356192958, 'roc_auc': 0.9214774777334261}, tiempo_total=1.34 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7263691216802692, 'accuracy': 0.8660192444761226, 'precision': 0.8685537800415413, 'recall': 0.8660192444761226, 'f1': 0.8650599953013234, 'roc_auc': 0.923000269897865}, tiempo_total=1.07 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7263691216802692, 'accuracy': 0.8660192444761226, 'precision': 0.8685537800415413, 'recall': 0.8660192444761226, 'f1': 0.8650599953013234, 'roc_auc': 0.923000269897865}, tiempo_total=1.13 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.6918095980121471, 'accuracy': 0.848568543597054, 'precision': 0.8489856945426542, 'recall': 0.848568543597054, 'f1': 0.8479665356192958, 'roc_auc': 0.9210227945319639}, tiempo_total=1.32 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7242100347428085, 'accuracy': 0.8649322879543835, 'precision': 0.8672802217794813, 'recall': 0.8649322879543835, 'f1': 0.8639974721688178, 'roc_auc': 0.922785535368458}, tiempo_total=1.30 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7242100347428085, 'accuracy': 0.8649322879543835, 'precision': 0.8672802217794813, 'recall': 0.8649322879543835, 'f1': 0.8639974721688178, 'roc_auc': 0.922785535368458}, tiempo_total=1.16 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.6918095980121471, 'accuracy': 0.848568543597054, 'precision': 0.8489856945426542, 'recall': 0.848568543597054, 'f1': 0.8479665356192958, 'roc_auc': 0.9210242150470428}, tiempo_total=1.54 segundos

