Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=1, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053382956660083}, tiempo_total=0.17 segundos

C=10, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9054346539388515}, tiempo_total=0.16 segundos

C=10, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9054346539388515}, tiempo_total=0.14 segundos

C=10, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053148571672087}, tiempo_total=0.12 segundos

C=10, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053868299311997}, tiempo_total=0.16 segundos

C=10, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9054346539388515}, tiempo_total=0.14 segundos

C=10, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053629179273738}, tiempo_total=0.13 segundos

C=10, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053865931786866}, tiempo_total=0.13 segundos

C=10, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053626811748607}, tiempo_total=0.13 segundos

C=10, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053870666837129}, tiempo_total=0.12 segundos

C=10, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053865931786866}, tiempo_total=0.15 segundos

C=10, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053863564261734}, tiempo_total=0.13 segundos

C=10, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053861196736603}, tiempo_total=0.13 segundos

C=10, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053622076698342}, tiempo_total=0.13 segundos

C=10, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053385324185216}, tiempo_total=0.20 segundos

C=10, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053622076698342}, tiempo_total=0.12 segundos

C=10, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053382956660083}, tiempo_total=0.14 segundos


------------------------------------------------------

Resultados de Regresion Logistica con validacion cruzada (5 folds) undersample:

C=0.01, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.4853658536585366, 'accuracy': 0.7426829268292683, 'precision': 0.7434297758688581, 'recall': 0.7426829268292683, 'f1': 0.7425002496370696, 'roc_auc': 0.8219958358120166}, tiempo_total=0.13 segundos

C=0.01, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.4853658536585366, 'accuracy': 0.7426829268292683, 'precision': 0.7434297758688581, 'recall': 0.7426829268292683, 'f1': 0.7425002496370696, 'roc_auc': 0.8219958358120166}, tiempo_total=0.13 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.6560975609756098, 'accuracy': 0.828048780487805, 'precision': 0.8298315701198243, 'recall': 0.828048780487805, 'f1': 0.8278245274028981, 'roc_auc': 0.8895597858417608}, tiempo_total=0.12 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.6536585365853659, 'accuracy': 0.8268292682926829, 'precision': 0.8291643508020947, 'recall': 0.8268292682926829, 'f1': 0.8265424742634458, 'roc_auc': 0.8941403926234385}, tiempo_total=0.13 segundos

C=0.01, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6560975609756098, 'accuracy': 0.828048780487805, 'precision': 0.8298315701198243, 'recall': 0.828048780487805, 'f1': 0.8278245274028981, 'roc_auc': 0.8895597858417608}, tiempo_total=0.11 segundos

C=0.01, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6536585365853659, 'accuracy': 0.8268292682926829, 'precision': 0.8291643508020947, 'recall': 0.8268292682926829, 'f1': 0.8265424742634458, 'roc_auc': 0.8941403926234385}, tiempo_total=0.18 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.6560975609756098, 'accuracy': 0.828048780487805, 'precision': 0.8298315701198243, 'recall': 0.828048780487805, 'f1': 0.8278245274028981, 'roc_auc': 0.8895597858417608}, tiempo_total=0.15 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.6536585365853659, 'accuracy': 0.8268292682926829, 'precision': 0.8291643508020947, 'recall': 0.8268292682926829, 'f1': 0.8265424742634458, 'roc_auc': 0.8941403926234385}, tiempo_total=0.13 segundos

C=0.01, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.5951219512195122, 'accuracy': 0.7975609756097561, 'precision': 0.7992698895905594, 'recall': 0.7975609756097561, 'f1': 0.7973283945372946, 'roc_auc': 0.8687685901249257}, tiempo_total=0.12 segundos

C=0.01, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.5829268292682926, 'accuracy': 0.7914634146341463, 'precision': 0.7935188768338102, 'recall': 0.7914634146341463, 'f1': 0.7911698836007075, 'roc_auc': 0.8682331945270672}, tiempo_total=0.14 segundos

