Resultados de SVM con validacion cruzada (5 folds):

C=0.001, C=0.001, gamma=scale, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.39 segundos
C=0.1, C=0.1, gamma=auto, degree=9 --> {'cohen_kappa': 0.3553634377232099, 'accuracy': 0.6601797990481227, 'precision': 0.7642265675721737, 'recall': 0.6601797990481227, 'f1': 0.6398563456396208, 'roc_auc': 0.6894212273987507}, tiempo_total=0.35 segundos

C=0.1, C=0.1, gamma=auto, degree=10 --> {'cohen_kappa': 0.31894239667168367, 'accuracy': 0.6394500264410364, 'precision': 0.755572915555377, 'recall': 0.6394500264410364, 'f1': 0.6136227931777107, 'roc_auc': 0.6710186998246971}, tiempo_total=0.36 segundos

C=1, C=1, gamma=scale, degree=2 --> {'cohen_kappa': 0.6976528628914294, 'accuracy': 0.8497972853869206, 'precision': 0.854121781514787, 'recall': 0.8497972853869206, 'f1': 0.8501281492215991, 'roc_auc': 0.851921681569376}, tiempo_total=0.26 segundos

C=1, C=1, gamma=scale, degree=3 --> {'cohen_kappa': 0.6703113371980807, 'accuracy': 0.8355367530407192, 'precision': 0.8418203049636743, 'recall': 0.8355367530407192, 'f1': 0.8361548745697936, 'roc_auc': 0.8394126401558868}, tiempo_total=0.37 segundos

C=1, C=1, gamma=scale, degree=4 --> {'cohen_kappa': 0.6276291110589776, 'accuracy': 0.8127269522298608, 'precision': 0.8259940888999017, 'recall': 0.8127269522298608, 'f1': 0.8132777063458254, 'roc_auc': 0.8200222311605099}, tiempo_total=0.31 segundos

C=1, C=1, gamma=scale, degree=5 --> {'cohen_kappa': 0.6093252978845997, 'accuracy': 0.8028908866560902, 'precision': 0.8196137976354582, 'recall': 0.8028908866560902, 'f1': 0.8032982454238248, 'roc_auc': 0.811535427648226}, tiempo_total=0.28 segundos

C=1, C=1, gamma=scale, degree=6 --> {'cohen_kappa': 0.6054209589808541, 'accuracy': 0.8007579763793407, 'precision': 0.8188486645740867, 'recall': 0.8007579763793407, 'f1': 0.8010217232410826, 'roc_auc': 0.809867202499787}, tiempo_total=0.30 segundos

C=1, C=1, gamma=scale, degree=7 --> {'cohen_kappa': 0.5932065531730847, 'accuracy': 0.7942358540454786, 'precision': 0.8144720392826251, 'recall': 0.7942358540454786, 'f1': 0.7943853528744795, 'roc_auc': 0.8041937685300862}, tiempo_total=0.28 segundos

