Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=10, penalty=l2, solver=saga --> {'cohen_kappa': 0.6911812608021745, 'accuracy': 0.8474704741759209, 'precision': 0.8502160574717363, 'recall': 0.8474704741759209, 'f1': 0.8474668476052388, 'roc_auc': 0.8467658166985169}, tiempo_total=0.12 segundos

C=10, penalty=l2, solver=newton-cg --> {'cohen_kappa': 0.6911812608021745, 'accuracy': 0.8474704741759209, 'precision': 0.8502160574717363, 'recall': 0.8474704741759209, 'f1': 0.8474668476052388, 'roc_auc': 0.8467658166985169}, tiempo_total=0.12 segundos

C=10, penalty=elasticnet, solver=saga --> {'cohen_kappa': 0.6911812608021745, 'accuracy': 0.8474704741759209, 'precision': 0.8502160574717363, 'recall': 0.8474704741759209, 'f1': 0.8474668476052388, 'roc_auc': 0.8467658166985169}, tiempo_total=0.13 segundos

C=10, penalty=None, solver=lbfgs --> {'cohen_kappa': 0.6911812608021745, 'accuracy': 0.8474704741759209, 'precision': 0.8502160574717363, 'recall': 0.8474704741759209, 'f1': 0.8474668476052388, 'roc_auc': 0.8467658166985169}, tiempo_total=0.12 segundos

C=10, penalty=None, solver=saga --> {'cohen_kappa': 0.6911812608021745, 'accuracy': 0.8474704741759209, 'precision': 0.8502160574717363, 'recall': 0.8474704741759209, 'f1': 0.8474668476052388, 'roc_auc': 0.8467658166985169}, tiempo_total=0.12 segundos

C=10, penalty=None, solver=newton-cg --> {'cohen_kappa': 0.6911812608021745, 'accuracy': 0.8474704741759209, 'precision': 0.8502160574717363, 'recall': 0.8474704741759209, 'f1': 0.8474668476052388, 'roc_auc': 0.8467658166985169}, tiempo_total=0.12 segundos


------------------------------------------------------

Resultados de Regresion Logistica con validacion cruzada (5 folds) undersample:

C=0.01, penalty=l1, solver=liblinear --> {'cohen_kappa': 0.4867710067860915, 'accuracy': 0.7426829268292683, 'precision': 0.7481794844423247, 'recall': 0.7426829268292683, 'f1': 0.742411594517365, 'roc_auc': 0.7449401958913726}, tiempo_total=0.10segundos

C=0.01, penalty=l1, solver=saga --> {'cohen_kappa': 0.5257535880628519, 'accuracy': 0.7621951219512196, 'precision': 0.7675008021348068, 'recall': 0.7621951219512196, 'f1': 0.7621023200944452, 'roc_auc': 0.7645790674540303}, tiempo_total=0.12segundos

