Resultados de SVM con validacion cruzada (5 folds):

C=0.01, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.7064960317460317}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.010189650788693405, 'accuracy': 0.4870967741935484, 'precision': 0.2694853380187987, 'recall': 0.4870967741935484, 'f1': 0.3242227618104196, 'roc_auc': 0.8790932539682539}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': -0.009611251336426907, 'accuracy': 0.4774193548387097, 'precision': 0.2324934750345439, 'recall': 0.4774193548387097, 'f1': 0.3127013239215203, 'roc_auc': 0.6436170634920635}, tiempo_total=0.17 segundos

C=0.01, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.03128498466292069, 'accuracy': 0.4967741935483871, 'precision': 0.41221405298442537, 'recall': 0.4967741935483871, 'f1': 0.342986793477677, 'roc_auc': 0.8149503968253968}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': -0.02258431223948474, 'accuracy': 0.467741935483871, 'precision': 0.22995374770249222, 'recall': 0.467741935483871, 'f1': 0.30830464585605866, 'roc_auc': 0.6252440476190476}, tiempo_total=0.17 segundos

C=0.01, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.043236831968309186, 'accuracy': 0.5, 'precision': 0.4997964324502596, 'recall': 0.5, 'f1': 0.3595651193126649, 'roc_auc': 0.7077757936507937}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': -0.036173010156731245, 'accuracy': 0.4580645161290323, 'precision': 0.22732787925120754, 'recall': 0.4580645161290323, 'f1': 0.3038091413605541, 'roc_auc': 0.5989047619047619}, tiempo_total=0.18 segundos

C=0.01, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.9254186507936508}, tiempo_total=0.22 segundos

C=0.01, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.925498015873016}, tiempo_total=0.24 segundos

C=0.01, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.9205694444444443}, tiempo_total=0.19 segundos

C=0.01, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.9209464285714286}, tiempo_total=0.19 segundos

C=0.1, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.7311887383115695, 'accuracy': 0.832258064516129, 'precision': 0.8387172209795718, 'recall': 0.832258064516129, 'f1': 0.8318566856704201, 'roc_auc': 0.9560277777777777}, tiempo_total=0.14 segundos

C=0.1, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.7311887383115695, 'accuracy': 0.832258064516129, 'precision': 0.8387172209795718, 'recall': 0.832258064516129, 'f1': 0.8318566856704201, 'roc_auc': 0.9560277777777777}, tiempo_total=0.14 segundos

C=0.1, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.7298849206349207}, tiempo_total=0.16 segundos

C=0.1, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.4420117903640163, 'accuracy': 0.6806451612903226, 'precision': 0.6996483907929161, 'recall': 0.6806451612903226, 'f1': 0.6214901786311674, 'roc_auc': 0.9079126984126983}, tiempo_total=0.15 segundos

C=0.1, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': -0.014758390479589868, 'accuracy': 0.4741935483870968, 'precision': 0.23164736186690776, 'recall': 0.4741935483870968, 'f1': 0.3112361224563188, 'roc_auc': 0.7047539682539683}, tiempo_total=0.17 segundos

C=0.1, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.2792800805813158, 'accuracy': 0.603225806451613, 'precision': 0.6390588293331837, 'recall': 0.603225806451613, 'f1': 0.527856723425357, 'roc_auc': 0.8876349206349206}, tiempo_total=0.16 segundos

C=0.1, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': -0.031932005094497826, 'accuracy': 0.4612903225806452, 'precision': 0.2282026742211365, 'recall': 0.4612903225806452, 'f1': 0.3053072687013781, 'roc_auc': 0.6542678571428572}, tiempo_total=0.17 segundos

C=0.1, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.21805859347077222, 'accuracy': 0.5741935483870967, 'precision': 0.6207247870198535, 'recall': 0.5741935483870967, 'f1': 0.49028873042161897, 'roc_auc': 0.8058273809523809}, tiempo_total=0.16 segundos

C=0.1, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': -0.05479359234312135, 'accuracy': 0.4451612903225806, 'precision': 0.22426002189138736, 'recall': 0.4451612903225806, 'f1': 0.2980876066430064, 'roc_auc': 0.6368829365079365}, tiempo_total=0.18 segundos

C=0.1, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.18051351409549407, 'accuracy': 0.5580645161290322, 'precision': 0.6143075920495275, 'recall': 0.5580645161290322, 'f1': 0.46783264459494484, 'roc_auc': 0.702561507936508}, tiempo_total=0.16 segundos

C=0.1, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': -0.04182739094577252, 'accuracy': 0.4451612903225806, 'precision': 0.3152671889066315, 'recall': 0.4451612903225806, 'f1': 0.32044064157504537, 'roc_auc': 0.6255515873015873}, tiempo_total=0.19 segundos

C=0.1, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.7294821428571427}, tiempo_total=0.17 segundos

C=0.1, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.44660266436725793, 'accuracy': 0.6838709677419355, 'precision': 0.6997028477898695, 'recall': 0.6838709677419355, 'f1': 0.6233219834840368, 'roc_auc': 0.9090654761904762}, tiempo_total=0.22 segundos

C=0.1, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': -0.014758390479589868, 'accuracy': 0.4741935483870968, 'precision': 0.23164736186690776, 'recall': 0.4741935483870968, 'f1': 0.3112361224563188, 'roc_auc': 0.7041011904761905}, tiempo_total=0.17 segundos

C=0.1, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.26470323730734024, 'accuracy': 0.5967741935483871, 'precision': 0.6341923667730119, 'recall': 0.5967741935483871, 'f1': 0.5176946889963558, 'roc_auc': 0.8866904761904761}, tiempo_total=0.16 segundos

