Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7216078386697864, 'accuracy': 0.8290322580645162, 'precision': 0.8285191592191967, 'recall': 0.8290322580645162, 'f1': 0.8176619836396494, 'roc_auc': 0.9480773809523809}, tiempo_total=1.06 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7216078386697864, 'accuracy': 0.8290322580645162, 'precision': 0.8285191592191967, 'recall': 0.8290322580645162, 'f1': 0.8176619836396494, 'roc_auc': 0.9480773809523809}, tiempo_total=1.02 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7415712009401931, 'accuracy': 0.8387096774193548, 'precision': 0.8455163922099406, 'recall': 0.8387096774193548, 'f1': 0.8378882592420661, 'roc_auc': 0.9475337301587301}, tiempo_total=1.14 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7163222461719176, 'accuracy': 0.8258064516129032, 'precision': 0.8251821180623556, 'recall': 0.8258064516129032, 'f1': 0.8143815025024159, 'roc_auc': 0.9480833333333333}, tiempo_total=1.03 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7163222461719176, 'accuracy': 0.8258064516129032, 'precision': 0.8251821180623556, 'recall': 0.8258064516129032, 'f1': 0.8143815025024159, 'roc_auc': 0.9480833333333333}, tiempo_total=1.02 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7468173019751454, 'accuracy': 0.8419354838709678, 'precision': 0.8488496043873075, 'recall': 0.8419354838709678, 'f1': 0.8410497664720016, 'roc_auc': 0.9475436507936508}, tiempo_total=1.17 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7215401903016396, 'accuracy': 0.8290322580645162, 'precision': 0.8296875356044808, 'recall': 0.8290322580645162, 'f1': 0.8192754936481919, 'roc_auc': 0.9483888888888888}, tiempo_total=1.02 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7215401903016396, 'accuracy': 0.8290322580645162, 'precision': 0.8296875356044808, 'recall': 0.8290322580645162, 'f1': 0.8192754936481919, 'roc_auc': 0.9483888888888888}, tiempo_total=1.02 segundos

