Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.01, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.5}, tiempo_total=0.14 segundos
C=1, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.9593492063492064}, tiempo_total=0.47 segundos

C=1, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.9591904761904761}, tiempo_total=0.17 segundos

C=1, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.9621646825396827}, tiempo_total=0.16 segundos

C=1, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.962234126984127}, tiempo_total=0.42 segundos

C=1, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.962234126984127}, tiempo_total=0.14 segundos

C=10, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.9593492063492063}, tiempo_total=0.68 segundos

C=10, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7670199713545284, 'accuracy': 0.8548387096774194, 'precision': 0.8595438150297415, 'recall': 0.8548387096774194, 'f1': 0.8531842793315538, 'roc_auc': 0.9625039682539682}, tiempo_total=0.61 segundos

C=10, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.7770570424017004, 'accuracy': 0.8612903225806452, 'precision': 0.8650646616445572, 'recall': 0.8612903225806452, 'f1': 0.8594524590287987, 'roc_auc': 0.9591249999999999}, tiempo_total=0.16 segundos

C=10, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7770570424017004, 'accuracy': 0.8612903225806452, 'precision': 0.8650646616445572, 'recall': 0.8612903225806452, 'f1': 0.8594524590287987, 'roc_auc': 0.9590138888888887}, tiempo_total=0.37 segundos

C=10, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.7770570424017004, 'accuracy': 0.8612903225806452, 'precision': 0.8650646616445572, 'recall': 0.8612903225806452, 'f1': 0.8594524590287987, 'roc_auc': 0.9590138888888887}, tiempo_total=0.16 segundos

C=10, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7623298236905244, 'accuracy': 0.8516129032258064, 'precision': 0.8578068423250269, 'recall': 0.8516129032258064, 'f1': 0.8504619897365988, 'roc_auc': 0.962234126984127}, tiempo_total=0.15 segundos

C=10, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7623298236905244, 'accuracy': 0.8516129032258064, 'precision': 0.8578068423250269, 'recall': 0.8516129032258064, 'f1': 0.8504619897365988, 'roc_auc': 0.9620853174603174}, tiempo_total=0.31 segundos

C=10, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.7623298236905244, 'accuracy': 0.8516129032258064, 'precision': 0.8578068423250269, 'recall': 0.8516129032258064, 'f1': 0.8504619897365988, 'roc_auc': 0.962234126984127}, tiempo_total=0.14 segundos

C=10, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7770570424017004, 'accuracy': 0.8612903225806452, 'precision': 0.8650646616445572, 'recall': 0.8612903225806452, 'f1': 0.8594524590287987, 'roc_auc': 0.9592837301587303}, tiempo_total=0.50 segundos

C=10, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7670199713545284, 'accuracy': 0.8548387096774194, 'precision': 0.8595438150297415, 'recall': 0.8548387096774194, 'f1': 0.8531842793315538, 'roc_auc': 0.9625515873015873}, tiempo_total=0.46 segundos

C=10, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.959079365079365}, tiempo_total=0.17 segundos

C=10, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.9593492063492064}, tiempo_total=0.46 segundos

C=10, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.9591904761904761}, tiempo_total=0.18 segundos

C=10, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.9621646825396827}, tiempo_total=0.15 segundos

C=10, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.962234126984127}, tiempo_total=0.40 segundos

C=10, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.962234126984127}, tiempo_total=0.14 segundos


------------------------------------------------------

Resultados de Regresion Logistica con validacion cruzada (5 folds) undersample:

C=0.01, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0, 'accuracy': 0.3333333333333333, 'precision': 0.11111111111111112, 'recall': 0.3333333333333333, 'f1': 0.16666666666666666, 'roc_auc': 0.5}, tiempo_total=0.11 segundos

C=0.01, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.0, 'accuracy': 0.3333333333333333, 'precision': 0.11111111111111112, 'recall': 0.3333333333333333, 'f1': 0.16666666666666666, 'roc_auc': 0.5}, tiempo_total=0.11 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.6166666666666666, 'accuracy': 0.7444444444444445, 'precision': 0.7513949013949014, 'recall': 0.7444444444444445, 'f1': 0.73111651605168, 'roc_auc': 0.8905092592592592}, tiempo_total=0.15 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.6166666666666666, 'accuracy': 0.7444444444444445, 'precision': 0.7450236800236801, 'recall': 0.7444444444444445, 'f1': 0.7352081380777034, 'roc_auc': 0.9069444444444444}, tiempo_total=0.12 segundos

C=0.01, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6166666666666666, 'accuracy': 0.7444444444444445, 'precision': 0.7513949013949014, 'recall': 0.7444444444444445, 'f1': 0.73111651605168, 'roc_auc': 0.8902777777777777}, tiempo_total=0.13 segundos

C=0.01, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6166666666666666, 'accuracy': 0.7444444444444445, 'precision': 0.7450236800236801, 'recall': 0.7444444444444445, 'f1': 0.7352081380777034, 'roc_auc': 0.9069444444444444}, tiempo_total=0.11 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.6166666666666666, 'accuracy': 0.7444444444444445, 'precision': 0.7513949013949014, 'recall': 0.7444444444444445, 'f1': 0.73111651605168, 'roc_auc': 0.8902777777777777}, tiempo_total=0.14 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.6166666666666666, 'accuracy': 0.7444444444444445, 'precision': 0.7450236800236801, 'recall': 0.7444444444444445, 'f1': 0.7352081380777034, 'roc_auc': 0.9069444444444444}, tiempo_total=0.12 segundos

C=0.01, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0, 'accuracy': 0.3333333333333333, 'precision': 0.11111111111111112, 'recall': 0.3333333333333333, 'f1': 0.16666666666666666, 'roc_auc': 0.6787037037037037}, tiempo_total=0.12 segundos

C=0.01, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.24166666666666664, 'accuracy': 0.49444444444444446, 'precision': 0.3048000308869874, 'recall': 0.49444444444444446, 'f1': 0.36310335416217765, 'roc_auc': 0.6787037037037037}, tiempo_total=0.11 segundos

C=0.01, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.725, 'accuracy': 0.8166666666666667, 'precision': 0.8262978687978689, 'recall': 0.8166666666666667, 'f1': 0.8143570267628238, 'roc_auc': 0.9333333333333333}, tiempo_total=0.17 segundos

C=0.01, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7, 'accuracy': 0.8, 'precision': 0.8132537397243279, 'recall': 0.8, 'f1': 0.797428958784965, 'roc_auc': 0.9368055555555556}, tiempo_total=0.14 segundos

C=0.01, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.725, 'accuracy': 0.8166666666666667, 'precision': 0.8262978687978689, 'recall': 0.8166666666666667, 'f1': 0.8143570267628238, 'roc_auc': 0.9335648148148149}, tiempo_total=0.33 segundos

C=0.01, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7, 'accuracy': 0.8, 'precision': 0.8132537397243279, 'recall': 0.8, 'f1': 0.797428958784965, 'roc_auc': 0.9361111111111111}, tiempo_total=0.31 segundos

C=0.01, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.725, 'accuracy': 0.8166666666666667, 'precision': 0.8262978687978689, 'recall': 0.8166666666666667, 'f1': 0.8143570267628238, 'roc_auc': 0.9333333333333333}, tiempo_total=0.17 segundos

C=0.01, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.7, 'accuracy': 0.8, 'precision': 0.8132537397243279, 'recall': 0.8, 'f1': 0.797428958784965, 'roc_auc': 0.9368055555555556}, tiempo_total=0.14 segundos

C=0.1, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.65, 'accuracy': 0.7666666666666666, 'precision': 0.7734373034373035, 'recall': 0.7666666666666666, 'f1': 0.7599320139137073, 'roc_auc': 0.9296296296296296}, tiempo_total=0.15 segundos

